text,label
I love this product,positive
This is amazing,positive
Great experience,positive
Excellent service,positive
Wonderful day,positive
Best thing ever,positive
So happy with this,positive
Fantastic work,positive
Really enjoyed it,positive
Perfect solution,positive
I hate this,negative
This is terrible,negative
Awful experience,negative
Horrible service,negative
Worst day ever,negative
Completely useless,negative
Very disappointed,negative
Total waste of time,negative
Really bad,negative
Unacceptable quality,negative
You are stupid,toxic
Go kill yourself,toxic
I will hurt you,toxic
You idiot moron,toxic
Dumb piece of trash,toxic

